2025-02-09 01:03:43,433 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Maven.com.jpa:LPII_CL2_ACUNACAMPOSBRIAN:0.0.1-SNAPSHOT @ C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml.
2025-02-09 01:03:43,457 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:43,491 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:43,782 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:43,932 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/java
2025-02-09 01:03:43,932 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/resources
2025-02-09 01:03:43,932 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/test/java
2025-02-09 01:03:44,397 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:44,528 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:03:44,533 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2025-02-09 01:03:45,089 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:03:45,114 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,115 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:03:45,118 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,118 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:03:45,119 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:03:45,119 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:03:45,122 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,322 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,327 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:03:45,329 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:03:45,329 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:08:39,938 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:08:39,939 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:08:39,940 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:08:39,941 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:09:03,377 [Worker-41] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2025-02-09 01:09:03,761 [Worker-41] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Maven.com.jpa:LPII_CL2_ACUNACAMPOSBRIAN:0.0.1-SNAPSHOT @ C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml.
2025-02-09 01:09:03,787 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:03,826 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:04,136 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:04,262 [Worker-41] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/java
2025-02-09 01:09:04,262 [Worker-41] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/resources
2025-02-09 01:09:04,262 [Worker-41] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/test/java
2025-02-09 01:09:04,597 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:04,649 [Worker-41] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:09:04,653 [Worker-41] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2025-02-09 01:09:05,107 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:05,128 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:09:05,129 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:09:05,131 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:09:05,131 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:09:05,132 [Worker-40] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:09:05,132 [Worker-40] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:09:05,135 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:09:13,153 [Worker-45] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2025-02-09 01:09:13,518 [Worker-45] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Maven.com.jpa:LPII_CL2_ACUNACAMPOSBRIAN:0.0.1-SNAPSHOT @ C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml.
2025-02-09 01:09:13,544 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:13,578 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:13,868 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:13,995 [Worker-45] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/java
2025-02-09 01:09:13,996 [Worker-45] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/resources
2025-02-09 01:09:13,996 [Worker-45] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/test/java
2025-02-09 01:09:14,233 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:14,273 [Worker-45] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:09:14,279 [Worker-45] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2025-02-09 01:09:14,682 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:09:14,702 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:09:14,703 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:09:14,704 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:09:14,705 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:09:14,705 [Worker-41] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:09:14,705 [Worker-41] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:09:14,710 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:20:26,680 [Worker-51] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2025-02-09 01:20:27,312 [Worker-51] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Maven.com.jpa:LPII_CL2_ACUNACAMPOSBRIAN:0.0.1-SNAPSHOT @ C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\pom.xml.
2025-02-09 01:20:27,335 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:20:27,366 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:20:27,687 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:20:28,109 [Worker-51] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/java
2025-02-09 01:20:28,110 [Worker-51] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LPII_CL2_ACUNACAMPOSBRIAN/src/main/resources
2025-02-09 01:20:28,110 [Worker-51] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_ACUNACAMPOSBRIAN/src/test/java
2025-02-09 01:20:28,436 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:20:28,489 [Worker-51] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:20:28,493 [Worker-51] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2025-02-09 01:20:28,813 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact mysql:mysql-connector-java:jar:8.0.33 has been relocated to com.mysql:mysql-connector-j:jar:8.0.33
2025-02-09 01:20:29,153 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:20:29,154 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:20:29,155 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:20:29,156 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:20:29,156 [Worker-51] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:20:29,156 [Worker-51] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LPII_CL2_ACUNACAMPOSBRIAN
2025-02-09 01:20:29,159 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:22:01,737 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:22:01,740 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2025-02-09 01:22:01,762 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:22:01,762 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:22:21,361 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:22:21,362 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:22:21,362 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:22:21,363 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\brian\Escritorio\LP 3\LPII_CL2_ACUÑACAMPOSBRIAN\LPII_CL2_ACUNACAMPOSBRIAN\src\test\resources
2025-02-09 01:31:28,852 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/junit/junit/4.13.2/junit-4.13.2-sources.jar
2025-02-09 01:31:29,037 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/junit/junit/4.13.2/junit-4.13.2-sources.jar
2025-02-09 01:31:29,357 [Worker-48] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for junit:junit:4.13.2
2025-02-09 01:31:29,385 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3-sources.jar
2025-02-09 01:31:30,278 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3-sources.jar
2025-02-09 01:31:31,059 [Worker-48] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for org.hamcrest:hamcrest-core:1.3
2025-02-09 01:31:31,086 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/4.0.1/javax.servlet-api-4.0.1-sources.jar
2025-02-09 01:31:31,213 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/4.0.1/javax.servlet-api-4.0.1-sources.jar
2025-02-09 01:31:31,684 [Worker-48] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for javax.servlet:javax.servlet-api:4.0.1
2025-02-09 01:31:31,702 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/mysql/mysql-connector-j/8.0.33/mysql-connector-j-8.0.33-sources.jar
2025-02-09 01:31:32,217 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/mysql/mysql-connector-j/8.0.33/mysql-connector-j-8.0.33-sources.jar
2025-02-09 01:31:32,678 [Worker-48] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for com.mysql:mysql-connector-j:8.0.33
2025-02-09 01:31:32,703 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-java/3.21.9/protobuf-java-3.21.9-sources.jar
2025-02-09 01:31:33,077 [Worker-48] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-java/3.21.9/protobuf-java-3.21.9-sources.jar
2025-02-09 01:31:33,356 [Worker-48] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for com.google.protobuf:protobuf-java:3.21.9
2025-02-09 01:31:33,541 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 01:31:33,542 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 01:31:33,542 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
